iter	Passed	Remaining
0	145	145221
1	148	74131
2	151	50508
3	154	38416
4	156	31066
5	158	26186
6	161	22850
7	163	20270
8	165	18205
9	167	16543
10	168	15183
11	173	14296
12	176	13371
13	177	12524
14	179	11798
15	181	11166
16	185	10748
17	187	10245
18	189	9784
19	190	9358
20	192	8977
21	194	8645
22	196	8327
23	200	8145
24	202	7911
25	204	7658
26	206	7427
27	208	7246
28	210	7049
29	214	6931
30	216	6765
31	218	6613
32	220	6462
33	222	6318
34	225	6209
35	226	6076
36	228	5941
37	230	5839
38	232	5730
39	236	5681
40	239	5592
41	241	5498
42	243	5426
43	245	5343
44	252	5365
45	255	5291
46	256	5207
47	258	5127
48	260	5054
49	264	5031
50	266	4961
51	268	4892
52	270	4826
53	271	4758
54	273	4694
55	274	4633
56	277	4590
57	279	4546
58	281	4491
59	283	4438
60	284	4383
61	286	4328
62	290	4327
63	294	4302
64	295	4253
65	297	4209
66	298	4163
67	300	4117
68	305	4116
69	307	4087
70	309	4048
71	311	4017
72	313	3982
73	315	3943
74	321	3962
75	323	3931
76	325	3897
77	326	3861
78	328	3829
79	329	3794
80	332	3775
81	335	3750
82	335	3710
83	337	3680
84	339	3651
85	340	3623
86	345	3624
87	349	3617
88	350	3592
89	352	3566
90	354	3544
91	360	3560
92	363	3544
93	365	3526
94	367	3505
95	370	3486
96	378	3522
97	380	3504
98	382	3482
99	384	3461
100	387	3446
101	389	3426
102	390	3402
103	392	3379
104	393	3356
105	395	3338
106	400	3339
107	401	3319
108	404	3302
109	405	3283
110	407	3265
111	409	3248
112	415	3260
113	418	3250
114	419	3231
115	421	3213
116	423	3194
117	424	3176
118	426	3161
119	428	3145
120	430	3129
121	432	3110
122	433	3094
123	435	3077
124	439	3076
125	442	3070
126	444	3052
127	446	3038
128	448	3025
129	449	3010
130	453	3010
131	455	2998
132	457	2985
133	459	2969
134	461	2957
135	463	2941
136	464	2927
137	469	2933
138	471	2923
139	473	2909
140	477	2907
141	478	2891
142	482	2891
143	484	2879
144	486	2866
145	488	2857
146	490	2848
147	492	2836
148	496	2837
149	499	2829
150	501	2818
151	502	2804
152	504	2791
153	505	2779
154	507	2766
155	512	2770
156	513	2758
157	515	2748
158	517	2737
159	519	2727
160	520	2712
161	522	2700
162	527	2706
163	529	2697
164	531	2687
165	532	2676
166	534	2665
167	536	2654
168	540	2656
169	544	2658
170	546	2647
171	547	2637
172	549	2625
173	550	2615
174	556	2623
175	558	2615
176	560	2604
177	561	2594
178	563	2584
179	565	2574
180	571	2586
181	573	2578
182	575	2567
183	576	2557
184	578	2548
185	580	2538
186	584	2540
187	586	2533
188	589	2528
189	590	2519
190	592	2510
191	594	2501
192	598	2504
193	601	2497
194	602	2488
195	604	2479
196	606	2470
197	607	2462
198	609	2452
199	614	2456
200	616	2449
201	617	2441
202	619	2431
203	620	2422
204	622	2412
